Feed name,Headline,Publication,Date,Time,Media type,Link,Language,Page number,Area (sq. cm),Section,Story Lead?,Story ID,Source Country,Source Region,Source Subregion,Reach Value,Reach Type,DAZN [mentions],DAZN [sentiment],DAZN [salience],Aviation relevant,Call of Duty,Cloud,DAZN Media announcement,DAZN TMO Irrelevant,Exclusions,ICA - Relevant coverage,Not launch,relevant,Remove,SAV irrelevant,SAV relevant,Spyro,Sentiment / Negative,Sentiment / Neutral,Sentiment / Positive
DAZN: Brazil,"Sport on TV, Wednesday 01/01/2020",Tribuna do Norte,31/12/2019,18:18:14,Online,https://article.signal-ai.com/7de032af-e0ca-3c7d-a34a-b1d54814209e?u=351ef292-faed-4477-a667-ff65eb6ec0ed&origin=csv,Portuguese,,,,Y,dd8d32da-cfe1-4ea9-b123-27fea81c237c,Brazil,Americas,South America,175000,monthly-unique-visitors,2,neutral,0.1,,,,,,,,,,,,,,,,
DAZN: Brazil,"""Complicated cars are' the beauty 'of Formula One,"" says Grosjean",Terra Brasil,31/12/2019,16:03:41,Online,https://article.signal-ai.com/41595bdd-5927-351f-835f-84a37b4ab1eb?u=351ef292-faed-4477-a667-ff65eb6ec0ed&origin=csv,Portuguese,,,,Y,9f769db2-601a-408f-a204-1e0101c63b74,Brazil,Americas,South America,1750000,monthly-unique-visitors,1,neutral,0.05,,,,,,,,,,,,,,,,
DAZN: Brazil,"""Switching to Sauber in 2013 was not the best for my career,"" Hulkenberg said.",Terra Brasil,31/12/2019,15:48:39,Online,https://article.signal-ai.com/b52990b2-c478-321a-b470-9e1c16282173?u=351ef292-faed-4477-a667-ff65eb6ec0ed&origin=csv,Portuguese,,,,Y,4716bdbc-83ee-4f53-8eb2-33c6f5220a15,Brazil,Americas,South America,1750000,monthly-unique-visitors,1,neutral,0.05,,,,,,,,,,,,,,,,
DAZN: Brazil,"Verstappen: ""I still count Mexico as a pole position of mine""",Terra Brasil,31/12/2019,15:36:37,Online,https://article.signal-ai.com/e1bacfbf-99ad-3906-a2a7-3b0e1aaf74ac?u=351ef292-faed-4477-a667-ff65eb6ec0ed&origin=csv,Portuguese,,,,Y,1d237b05-3676-4030-a26d-b06e299dc167,Brazil,Americas,South America,1750000,monthly-unique-visitors,1,neutral,0.05,,,,,,,,,,,,,,,,
DAZN: Brazil,"Norris admits ""not having focused as much as he should"" as a rookie in F1.",Terra Brasil,31/12/2019,15:03:43,Online,https://article.signal-ai.com/fc62c85c-2fd9-30b4-957f-8214f2311e00?u=351ef292-faed-4477-a667-ff65eb6ec0ed&origin=csv,Portuguese,,,,Y,e720e7f6-29cc-49ac-8106-9241b5349dba,Brazil,Americas,South America,1750000,monthly-unique-visitors,1,neutral,0.05,,,,,,,,,,,,,,,,
DAZN: Brazil,"After the world tricampeonato in October, Varela and Gugelmin try to repeat feat on the Dakar",Terra Brasil,31/12/2019,14:51:41,Online,https://article.signal-ai.com/634dcf3b-2068-39a3-9f41-dc0b539ec310?u=351ef292-faed-4477-a667-ff65eb6ec0ed&origin=csv,Portuguese,,,,Y,8950f924-e44c-4209-a6ad-3788acf581e0,Brazil,Americas,South America,1750000,monthly-unique-visitors,1,neutral,0.05,,,,,,,,,,,,,,,,
DAZN: Brazil,"""I'd be dumb"" if I didn't stay in Mercedes in 2021, says Bottas",Terra Brasil,31/12/2019,14:45:32,Online,https://article.signal-ai.com/982e9a16-e67f-3864-a69a-98cd575f08a7?u=351ef292-faed-4477-a667-ff65eb6ec0ed&origin=csv,Portuguese,,,,Y,14dbc443-9d06-4852-af24-e3503ec43f15,Brazil,Americas,South America,1750000,monthly-unique-visitors,1,neutral,0.05,,,,,,,,,,,,,,,,
DAZN: Brazil,"After the world tricampeonato in October, Varela and Gugelmin try to repeat feat on the Dakar",Blog André Kfouri,31/12/2019,14:38:51,Online,https://article.signal-ai.com/fd8dd489-63ed-3874-a525-67af4e6a1f4d?u=351ef292-faed-4477-a667-ff65eb6ec0ed&origin=csv,Portuguese,,,,Y,79c57fed-ae40-4d71-bf10-3a413889002a,Brazil,Americas,South America,875000,monthly-unique-visitors,1,neutral,0.05,,,,,,,,,,,,,,,,
DAZN: Brazil,"""I'd be dumb"" if I didn't stay in Mercedes in 2021, says Bottas",Blog André Kfouri,31/12/2019,14:38:51,Online,https://article.signal-ai.com/cfc21b07-96f6-3dcc-8d0c-bec2075801b1?u=351ef292-faed-4477-a667-ff65eb6ec0ed&origin=csv,Portuguese,,,,Y,75025eb2-c32b-4856-a33b-102fed2e72c7,Brazil,Americas,South America,875000,monthly-unique-visitors,1,neutral,0.05,,,,,,,,,,,,,,,,
DAZN: Brazil,"Manchester City x Everton / likely climbs, where to watch, time, place and guess",Boa Informação,31/12/2019,14:35:42,Online,https://article.signal-ai.com/8acf432c-a8fd-3cb3-8c15-1a36a3f74d4b?u=351ef292-faed-4477-a667-ff65eb6ec0ed&origin=csv,Portuguese,,,,Y,abdbe1e4-ba88-49d5-bc1c-ae0582b448f3,Brazil,Americas,South America,30000,monthly-unique-visitors,1,positive,0.05,,,,,,,,,,,,,,,,
